CODE,STATE,COUNTY,FIPS,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24230,MINNESOTA,FREEBORN,27047,2794.00,13229098.00,394.57,11738200.00,350.10,881437.00,142198.00,467261.00,2447.00,11324680.00,385.67,,24230,MINNESOTA,FREEBORN,14157289.00,12997818.00,1003216.00,156254.00,0.00,10334482.00
24240,MINNESOTA,GOODHUE,27049,4029.00,15604257.00,322.75,13516975.00,279.58,1270174.00,147040.00,670064.00,3373.00,15323757.00,378.59,,24240,MINNESOTA,GOODHUE,17930357.00,16428443.00,1339380.00,162534.00,0.00,12821946.00
24250,MINNESOTA,GRANT,27051,668.00,2999462.00,374.18,2906488.00,362.59,40480.00,35837.00,16655.00,593.00,3428226.00,481.76,,24250,MINNESOTA,GRANT,3639770.00,3556046.00,44233.00,39491.00,0.00,3524899.00
24260,MINNESOTA,HENNEPIN,27053,81136.00,331428845.00,340.40,295183896.00,303.18,19136268.00,7665875.00,9442804.00,62926.00,302909192.00,401.14,,24260,MINNESOTA,HENNEPIN,255863513.00,241637329.00,9519286.00,4706898.00,0.00,138169545.00
24270,MINNESOTA,HOUSTON,27055,2197.00,6292340.00,238.67,5602754.00,212.52,421946.00,125940.00,141698.00,1919.00,8537815.00,370.76,,24270,MINNESOTA,HOUSTON,3150938.00,2883411.00,201697.00,65831.00,0.00,4568108.00
24280,MINNESOTA,HUBBARD,27057,2230.00,9448253.00,353.07,9046732.00,338.07,178838.00,168198.00,54482.00,1976.00,10321415.00,435.28,,24280,MINNESOTA,HUBBARD,8640444.00,8316823.00,152190.00,171431.00,0.00,8755388.00
24290,MINNESOTA,ISANTI,27059,2577.00,11270397.00,364.45,10614334.00,343.24,303599.00,238898.00,113563.00,2147.00,11657346.00,452.47,,24290,MINNESOTA,ISANTI,10006754.00,9585310.00,202449.00,218996.00,0.00,6244392.00
24300,MINNESOTA,ITASCA,27061,5242.00,19674654.00,312.77,18611610.00,295.87,477597.00,422582.00,162861.00,4699.00,24056079.00,426.62,,24300,MINNESOTA,ITASCA,13917196.00,13263708.00,345413.00,308075.00,0.00,15394691.00
24310,MINNESOTA,JACKSON,27063,1488.00,6559071.00,367.33,6246282.00,349.81,174905.00,85363.00,52518.00,1343.00,7517585.00,466.47,,24310,MINNESOTA,JACKSON,2270798.00,2187097.00,44678.00,39023.00,0.00,2950313.00
24320,MINNESOTA,KANABEC,27065,1529.00,6362823.00,346.79,6038696.00,329.12,163608.00,109237.00,51279.00,1313.00,7357090.00,466.94,,24320,MINNESOTA,KANABEC,3837649.00,3699105.00,72700.00,65844.00,0.00,4298645.00
24330,MINNESOTA,KANDIYOHI,27067,3286.00,13559931.00,343.88,12915183.00,327.53,250248.00,306548.00,87949.00,2848.00,13627512.00,398.75,,24330,MINNESOTA,KANDIYOHI,15268547.00,14731474.00,209732.00,327341.00,0.00,8983261.00
24340,MINNESOTA,KITTSON,27069,481.00,2210534.00,382.98,2112565.00,366.00,55062.00,19174.00,23732.00,390.00,2327286.00,497.28,,24340,MINNESOTA,KITTSON,1783113.00,1727720.00,36119.00,19274.00,0.00,2361955.00
24350,MINNESOTA,KOOCHICHING,27071,1721.00,6689304.00,323.91,6417154.00,310.73,94071.00,131997.00,46079.00,1550.00,7707948.00,414.41,,24350,MINNESOTA,KOOCHICHING,6969876.00,6693664.00,130415.00,145798.00,0.00,7917978.00
24360,MINNESOTA,LAC QUI PARLE,27073,615.00,3648824.00,494.42,3558121.00,482.13,42913.00,24992.00,22796.00,557.00,3781947.00,565.82,,24360,MINNESOTA,LAC QUI PARLE,3806242.00,3721809.00,49573.00,34860.00,0.00,4433215.00
24370,MINNESOTA,LAKE,27075,1363.00,6150154.00,376.02,5862216.00,358.41,122755.00,123914.00,41267.00,1208.00,6311673.00,435.41,,24370,MINNESOTA,LAKE,4186047.00,3997073.00,109727.00,79247.00,0.00,3796587.00
