CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24240,MINNESOTA,GOODHUE,"4,029","15,604,257",322.75,"13,516,975",279.58,"1,270,174","147,040","670,064","3,373","15,323,757",378.59,,24240,MINNESOTA,GOODHUE,"17,930,357","16,428,443","1,339,380","162,534",0,"12,821,946"
24250,MINNESOTA,GRANT,668,"2,999,462",374.18,"2,906,488",362.59,"40,480","35,837","16,655",593,"3,428,226",481.76,,24250,MINNESOTA,GRANT,"3,639,770","3,556,046","44,233","39,491",0,"3,524,899"
24260,MINNESOTA,HENNEPIN,"81,136","331,428,845",340.40,"295,183,896",303.18,"19,136,268","7,665,875","9,442,804","62,926","302,909,192",401.14,,24260,MINNESOTA,HENNEPIN,"255,863,513","241,637,329","9,519,286","4,706,898",0,"138,169,545"
24270,MINNESOTA,HOUSTON,"2,197","6,292,340",238.67,"5,602,754",212.52,"421,946","125,940","141,698","1,919","8,537,815",370.76,,24270,MINNESOTA,HOUSTON,"3,150,938","2,883,411","201,697","65,831",0,"4,568,108"
24280,MINNESOTA,HUBBARD,"2,230","9,448,253",353.07,"9,046,732",338.07,"178,838","168,198","54,482","1,976","10,321,415",435.28,,24280,MINNESOTA,HUBBARD,"8,640,444","8,316,823","152,190","171,431",0,"8,755,388"
24290,MINNESOTA,ISANTI,"2,577","11,270,397",364.45,"10,614,334",343.24,"303,599","238,898","113,563","2,147","11,657,346",452.47,,24290,MINNESOTA,ISANTI,"10,006,754","9,585,310","202,449","218,996",0,"6,244,392"
24300,MINNESOTA,ITASCA,"5,242","19,674,654",312.77,"18,611,610",295.87,"477,597","422,582","162,861","4,699","24,056,079",426.62,,24300,MINNESOTA,ITASCA,"13,917,196","13,263,708","345,413","308,075",0,"15,394,691"
24310,MINNESOTA,JACKSON,"1,488","6,559,071",367.33,"6,246,282",349.81,"174,905","85,363","52,518","1,343","7,517,585",466.47,,24310,MINNESOTA,JACKSON,"2,270,798","2,187,097","44,678","39,023",0,"2,950,313"
24320,MINNESOTA,KANABEC,"1,529","6,362,823",346.79,"6,038,696",329.12,"163,608","109,237","51,279","1,313","7,357,090",466.94,,24320,MINNESOTA,KANABEC,"3,837,649","3,699,105","72,700","65,844",0,"4,298,645"
24330,MINNESOTA,KANDIYOHI,"3,286","13,559,931",343.88,"12,915,183",327.53,"250,248","306,548","87,949","2,848","13,627,512",398.75,,24330,MINNESOTA,KANDIYOHI,"15,268,547","14,731,474","209,732","327,341",0,"8,983,261"
24340,MINNESOTA,KITTSON,481,"2,210,534",382.98,"2,112,565",366.00,"55,062","19,174","23,732",390,"2,327,286",497.28,,24340,MINNESOTA,KITTSON,"1,783,113","1,727,720","36,119","19,274",0,"2,361,955"
24350,MINNESOTA,KOOCHICHING,"1,721","6,689,304",323.91,"6,417,154",310.73,"94,071","131,997","46,079","1,550","7,707,948",414.41,,24350,MINNESOTA,KOOCHICHING,"6,969,876","6,693,664","130,415","145,798",0,"7,917,978"
24360,MINNESOTA,LAC QUI PARLE,615,"3,648,824",494.42,"3,558,121",482.13,"42,913","24,992","22,796",557,"3,781,947",565.82,,24360,MINNESOTA,LAC QUI PARLE,"3,806,242","3,721,809","49,573","34,860",0,"4,433,215"
24370,MINNESOTA,LAKE,"1,363","6,150,154",376.02,"5,862,216",358.41,"122,755","123,914","41,267","1,208","6,311,673",435.41,,24370,MINNESOTA,LAKE,"4,186,047","3,997,073","109,727","79,247",0,"3,796,587"
24380,MINNESOTA,LAKE OF THE WOODS,497,"1,963,635",329.25,"1,908,400",319.99,"16,964","29,691","8,578",415,"2,338,096",469.50,,24380,MINNESOTA,LAKE OF THE WOODS,"2,516,419","2,441,661","21,121","53,636",0,"2,326,042"
